ano,0-4,5-9,10-14
2010,14858280,15865195,17397304
2011,14697433,15600504,17216843
2012,14624301,15387507,16880174
2013,14567170,15203145,16495325
2014,14570070,15029641,16131984
2015,14677159,14824271,15840860
2016,14715112,14664918,15577214
2017,14720776,14593299,15365237
2018,14787557,14537829,15182024
2019,14798332,14542132,15009676
2020,14730311,14650311,14805478
2021,14703281,14689394,14647164
2022,14675523,14695773,14576191
2023,14569055,14762671,14520972
2024,14452355,14773628,14525347
2025,14326234,14705941,14633526
2026,14192256,14679311,14672711
2027,14053426,14652033,14679300
2028,13912226,14546208,14746432
2029,13770272,14430226,14757724
2030,13629815,14304778,14690423
2031,13491399,14171490,14664114
2032,13354905,14033278,14637176
2033,13221642,13892710,14531700
2034,13092489,13751331,14416109
2035,12967369,13611405,14291049
2036,12846604,13473529,14158125
2037,12730937,13337523,14020272
2038,12620549,13204728,13880038
2039,12514918,13076037,13738984
2040,12413588,12951361,13599376
2041,12316709,12830995,13461829
2042,12225086,12715703,13326122
2043,12138798,12605672,13193611
2044,12057106,12500387,13065182
2045,11979238,12399373,12940762
2046,11904624,12302790,12820626
2047,11832490,12211456,12705545
2048,11761709,12125433,12595720
2049,11691308,12043993,12490655
2050,11620256,11966376,12389855
2051,11547982,11891973,12293466
2052,11473958,11820071,12202305
2053,11397201,11749531,12116445
2054,11317212,11679356,12035156
2055,11233863,11608504,11957694
2056,11147191,11536459,11883455
2057,11057520,11462615,11811703
2058,10965028,11386046,11741278
2059,10870292,11306224,11671246
2060,10774218,11223031,11600532
