Data,Temp. Méd (°C),Chuva (mm)
01/10,15.96,0.2
02/10,16.78,0.0
03/10,15.24,0.0
04/10,15.37,0.0
05/10,16.17,0.0
06/10,16.18,15.000000000000002
07/10,18.06,1.4000000000000001
08/10,17.29,0.0
09/10,18.4,0.0
10/10,13.4,0.0
11/10,16.72,13.6
12/10,17.49,10.4
13/10,17.82,3.2
14/10,15.65,17.799999999999997
15/10,14.95,0.6000000000000001
16/10,17.72,10.2
17/10,18.29,0.0
18/10,15.68,8.399999999999999
19/10,18.92,0.0
20/10,17.51,12.2
21/10,19.0,20.0
22/10,18.32,0.0
23/10,17.85,0.0
24/10,18.88,0.0
25/10,17.67,0.2
26/10,19.58,0.0
27/10,20.76,1.6
28/10,22.31,0.0
29/10,21.09,8.6
30/10,20.14,0.2
31/10,18.66,23.200000000000003
