UF,Código,Gentílico,Governador [2019],Capital [2010],Área Territorial - km² [2021],População estimada - pessoas [2021],Densidade demográfica - hab/km² [2010],Matrículas no Ensino Fundamental - matrículas [2021],IDH [2010],Receitas realizadas - R$ (×1000) [2017],Despesas empenhadas - R$ (×1000) [2017],Rendimento mensal domiciliar per capita - R$ [2021],Total de veículos - veículos [2021]
Acre,12,acriano,GLADSON DE LIMA CAMELI,Rio Branco,"164173,431",906876,"4,47",153015,"0,663","6632883,10836","6084416,8063",888,320173
Alagoas,27,alagoano,JOSE RENAN VASCONCELOS CALHEIROS FILHO,Maceió,"27830,661",3365351,"112,33",458782,"0,631","11950438,46015","10460634,91711",777,981823
Amapá,16,amapaense,ANTONIO WALDEZ GÓES DA SILVA,Macapá,"142470,762",877613,"4,69",133839,"0,708","5396417,14471","4224464,08829",855,224208
Amazonas,13,amazonense,WILSON MIRANDA LIMA,Manaus,"1559167,878",4269995,"2,23",702763,"0,674","17328459,43402","15324896,55705",800,1014026
Bahia,29,baiano,RUI COSTA DOS SANTOS,Salvador,"564760,429",14985284,"24,82",1946957,"0,66","50191003,24052","45570160,0038",843,4695972
Ceará,23,cearense,CAMILO SOBREIRA DE SANTANA,Fortaleza,"148894,447",9240580,"56,76",1161434,"0,682","28420222,47191","24608352,18276",881,3513199
Distrito Federal,53,brasiliense,IBANEIS ROCHA BARROS JUNIOR,Brasília,"5760,784",3094325,"444,66",369128,"0,824","23812211,27074","21990464,6849",2513,1979698
Espírito Santo,32,capixaba ou espírito-santense,JOSE RENATO CASAGRANDE,Vitória,"46074,448",4108508,"76,25",503003,"0,74","19685616,74376","14392338,00188",1295,2160432
Goiás,52,goiano,RONALDO RAMOS CAIADO,Goiânia,"340242,856",7206589,"17,65",855021,"0,735","37885335,16848","24248380,34233",1276,4369349
Maranhão,21,maranhense,FLÁVIO DINO DE CASTRO E COSTA,São Luís,"329651,496",7153262,"19,81",1112636,"0,639","18503261,35491","17627170,75574",635,1940475
Mato Grosso,51,mato-grossense,MAURO MENDES FERREIRA,Cuiabá,"903207,047",3567234,"3,36",486568,"0,725","23958528,83588","18187363,27009",1362,2443785
Mato Grosso do Sul,50,sul-mato-grossense ou mato-grossense-do-sul,REINALDO AZAMBUJA SILVA,Campo Grande,"357147,995",2839188,"6,86",391975,"0,729","16396655,77012","14506915,37404",1471,1764689
Minas Gerais,31,mineiro,ROMEU ZEMA NETO,Belo Horizonte,"586513,983",21411923,"33,41",2407107,"0,731","97199823,15616","98391669,16323",1325,12503229
Pará,15,paraense,HELDER ZAHLUTH BARBALHO,Belém,"1245870,7",8777124,"6,07",1389983,"0,646","25849446,10454","22533470,04547",847,2352727
Paraíba,25,paraibano,JOÃO AZEVEDO LINS FILHO,João Pessoa,"56467,242",4059905,"66,7",540919,"0,658","13097005,31928","10074700,04266",876,1470901
Paraná,41,paranaense,CARLOS ROBERTO MASSA JUNIOR,Curitiba,"199298,981",11597484,"52,4",1348296,"0,749","60163576,12246","55534402,97483",1541,8339982
Pernambuco,26,pernambucano,PAULO HENRIQUE SARAIVA CÂMARA,Recife,"98067,877",9674793,"89,62",1249850,"0,673","35746028,97102","33320486,44445",829,3334479
Piauí,22,piauiense,JOSÉ WELLINGTON BARROSO DE ARAÚJO DIAS,Teresina,"251755,481",3289290,"12,4",459871,"0,646","12124215,61511","9676736,31835",837,1338918
Rio de Janeiro,33,fluminense,CLÁUDIO BOMFIM DE CASTRO E SILVA,Rio de Janeiro,"43750,425",17463349,"365,23",1945408,"0,761","78488140,78862","67965548,69757",1724,7296355
Rio Grande do Norte,24,potiguar ou norte-rio-grandense ou rio-grandense-do-norte,MARIA DE FATIMA BEZERRA,Natal,"52809,599",3560903,"59,99",447692,"0,684","13527552,73159","11330957,55333",1109,1444307
Rio Grande do Sul,43,gaúcho ou sul-rio-grandense,RANOLFO VIEIRA JÚNIOR,Porto Alegre,"281707,151",11466630,"37,96",1257992,"0,746","66397468,17915","62476279,34364",1787,7689278
Rondônia,11,rondoniense ou rondoniano,MARCOS JOSE ROCHA DOS SANTOS,Porto Velho,"237765,347",1815278,"6,58",244815,"0,69","9122310,72305","7085530,0168",1023,1113279
Roraima,14,roraimense,ANTONIO OLIVERIO GARCIA DE ALMEIDA,Boa Vista,"223644,53",652713,"2,01",103123,"0,707","4266318,54785","3865094,27139",1046,250675
Santa Catarina,42,catarinense ou barriga-verde,CARLOS MOISÉS DA SILVA,Florianópolis,"95730,69",7338473,"65,27",900240,"0,774","34696772,82078","25595103,37918",1718,5786199
São Paulo,35,paulista,RODRIGO GARCIA,São Paulo,"248219,485",46649132,"166,23",5396803,"0,783","232822496,56706","231982243,69176",1836,31455473
Sergipe,28,sergipano ou sergipense,BELIVALDO CHAGAS SILVA,Aracaju,"21938,188",2338474,"94,36",320638,"0,665","10145046,95355","8494927,19996",929,871776
Tocantins,17,tocantinense,WANDERLEI BARBOSA CASTRO,Palmas,"277423,627",1607363,"4,98",227743,"0,699","10305099,01288","8929456,43836",1028,791463
